minor_group,pct_total,aug,aut,aug_aut_ratio,top_10,bottom_10,top_10_aut,top_10_aug,cat
13-2,2.315617977410592,0.9737642072637038,1.0864429827984974,0.8962865264732516,1,0,0,1,top_10
15-1,37.860434101685485,10.513627853783403,25.85493962836213,0.4066390409301228,1,0,1,1,top_10
15-2,2.3787788001325967,1.0528198065647527,1.1549490774786453,0.9115724901596097,1,0,0,1,top_10
17-2,2.265667944871612,0.8141193021495943,1.110373897431892,0.7331938404104377,1,0,0,1,top_10
19-3,2.889084785038831,1.2068527401235403,1.373613958399235,0.8785967358179493,1,0,1,1,top_10
25-1,4.007365974093608,1.57086403796342,16.091434581301414,0.09762113067214014,1,0,1,1,top_10
25-3,2.678137872420148,0.9288399154851672,1.9411771955843857,0.47849311108641096,1,0,1,1,top_10
27-3,5.5240622866100155,0.6206282828726465,4.60551992736505,0.1347574850745952,1,0,1,0,top_10
29-1,2.4897285234902777,1.2709547009324573,0.90886121712837,1.3984034932727736,1,0,0,1,top_10
43-9,3.9687793125300015,1.4267653397665365,2.2080120291361434,0.6461764342492012,1,0,1,1,top_10
33-1,0.008156530086615859,0.0,0.0,,0,1,0,0,bottom_10
33-2,0.0020914179709271403,0.0,0.0,,0,1,0,0,bottom_10
37-2,0.008783955477894173,0.0024051306665662775,0.00236227912690163,1.0181399137708387,0,1,0,0,bottom_10
37-3,0.014744496695036692,0.009934235361904145,0.001746032398144685,5.689605400484067,0,1,0,0,bottom_10
39-2,0.0051239740287715,0.002823414260751664,0.0,inf,0,1,0,0,bottom_10
47-3,0.002195988869473544,0.0,0.0,,0,1,0,0,bottom_10
51-1,0.0033462687534833637,0.0,0.0,,0,1,0,0,bottom_10
51-2,0.016522201970324522,0.0,0.0,,0,1,0,0,bottom_10
53-5,0.01254850782556315,0.0069016793040597366,0.0,inf,0,1,0,0,bottom_10
53-7,0.013594216811026566,0.0025097015651126273,0.0020541557625231477,1.2217678965250067,0,1,0,0,bottom_10
13-2,2.315617977410592,0.9737642072637038,1.0864429827984974,0.8962865264732516,1,0,0,1,top_10_aug
15-1,37.860434101685485,10.513627853783403,25.85493962836213,0.4066390409301228,1,0,1,1,top_10_aug
15-2,2.3787788001325967,1.0528198065647527,1.1549490774786453,0.9115724901596097,1,0,0,1,top_10_aug
17-2,2.265667944871612,0.8141193021495943,1.110373897431892,0.7331938404104377,1,0,0,1,top_10_aug
19-1,1.3608856736823263,0.6631886385810143,0.5119983238088969,1.2952945502777644,0,0,0,1,top_10_aug
19-3,2.889084785038831,1.2068527401235403,1.373613958399235,0.8785967358179493,1,0,1,1,top_10_aug
25-1,4.007365974093608,1.57086403796342,16.091434581301414,0.09762113067214014,1,0,1,1,top_10_aug
25-3,2.678137872420148,0.9288399154851672,1.9411771955843857,0.47849311108641096,1,0,1,1,top_10_aug
29-1,2.4897285234902777,1.2709547009324573,0.90886121712837,1.3984034932727736,1,0,0,1,top_10_aug
43-9,3.9687793125300015,1.4267653397665365,2.2080120291361434,0.6461764342492012,1,0,1,1,top_10_aug
15-1,37.860434101685485,10.513627853783403,25.85493962836213,0.4066390409301228,1,0,1,1,top_10_aut
19-3,2.889084785038831,1.2068527401235403,1.373613958399235,0.8785967358179493,1,0,1,1,top_10_aut
25-1,4.007365974093608,1.57086403796342,16.091434581301414,0.09762113067214014,1,0,1,1,top_10_aut
25-2,0.522356468168873,0.10618382543605974,1.6378810972478381,0.064829996276581,0,0,1,0,top_10_aut
25-3,2.678137872420148,0.9288399154851672,1.9411771955843857,0.47849311108641096,1,0,1,1,top_10_aut
25-9,1.902686511941665,0.25517200534376305,1.5366112181554492,0.1660615270335407,0,0,1,0,top_10_aut
27-1,2.1974528620532086,0.15894776579046713,1.8640436467016401,0.08527040988107742,0,0,1,0,top_10_aut
27-2,1.6080912778459227,0.0779053194170378,1.316200304836714,0.05918956190084049,0,0,1,0,top_10_aut
27-3,5.5240622866100155,0.6206282828726465,4.60551992736505,0.1347574850745952,1,0,1,0,top_10_aut
43-9,3.9687793125300015,1.4267653397665365,2.2080120291361434,0.6461764342492012,1,0,1,1,top_10_aut
